pathway	external_id	source	ensembl_ids
PI3K-Akt signaling pathway - Homo sapiens (human)	path:hsa04151	KEGG	ENSG00000160741,ENSG00000107175,ENSG00000198793,ENSG00000254647,ENSG00000064547,ENSG00000105855,ENSG00000105568,ENSG00000134853,ENSG00000174775,ENSG00000123143,ENSG00000145675,ENSG00000137080,ENSG00000096968,ENSG00000160867,ENSG00000111664,ENSG00000213949,ENSG00000171862,ENSG00000100030,ENSG00000135862,ENSG00000138798,ENSG00000204248,ENSG00000145431,ENSG00000019991,ENSG00000166913,ENSG00000078369,ENSG00000169031,ENSG00000128052,ENSG00000169032,ENSG00000168209,ENSG00000188379,ENSG00000146592,ENSG00000141564,ENSG00000115221,ENSG00000157613,ENSG00000139626,ENSG00000117020,ENSG00000213281,ENSG00000100485,ENSG00000075388,ENSG00000128272,ENSG00000135679,ENSG00000141349,ENSG00000105664,ENSG00000137713,ENSG00000137154,ENSG00000104205,ENSG00000175305,ENSG00000172354,ENSG00000105173,ENSG00000102466,ENSG00000171552,ENSG00000113520,ENSG00000150630,ENSG00000143578,ENSG00000130635,ENSG00000135446,ENSG00000198121,ENSG00000082781,ENSG00000066468,ENSG00000206384,ENSG00000189056,ENSG00000105550,ENSG00000118971,ENSG00000118785,ENSG00000109320,ENSG00000168685,ENSG00000164399,ENSG00000068078,ENSG00000166598,ENSG00000103197,ENSG00000169231,ENSG00000186350,ENSG00000113721,ENSG00000082701,ENSG00000156427,ENSG00000105401,ENSG00000112715,ENSG00000115232,ENSG00000110799,ENSG00000002330,ENSG00000147168,ENSG00000128245,ENSG00000067606,ENSG00000102755,ENSG00000132470,ENSG00000108953,ENSG00000188153,ENSG00000185291,ENSG00000120242,ENSG00000138675,ENSG00000126934,ENSG00000113494,ENSG00000143384,ENSG00000171791,ENSG00000259384,ENSG00000243364,ENSG00000152254,ENSG00000102678,ENSG00000060566,ENSG00000163359,ENSG00000259207,ENSG00000068971,ENSG00000134460,ENSG00000213676,ENSG00000058085,ENSG00000147885,ENSG00000108342,ENSG00000186340,ENSG00000077782,ENSG00000111276,ENSG00000197565,ENSG00000175470,ENSG00000141506,ENSG00000142166,ENSG00000100311,ENSG00000080573,ENSG00000005961,ENSG00000136238,ENSG00000154188,ENSG00000186469,ENSG00000118260,ENSG00000100889,ENSG00000154229,ENSG00000112576,ENSG00000074211,ENSG00000161958,ENSG00000233816,ENSG00000172752,ENSG00000165025,ENSG00000050555,ENSG00000172037,ENSG00000070388,ENSG00000131482,ENSG00000111713,ENSG00000012048,ENSG00000091136,ENSG00000081913,ENSG00000123374,ENSG00000104695,ENSG00000136487,ENSG00000108821,ENSG00000140285,ENSG00000041982,ENSG00000142627,ENSG00000157404,ENSG00000112769,ENSG00000142156,ENSG00000099985,ENSG00000105851,ENSG00000175766,ENSG00000139219,ENSG00000111241,ENSG00000077943,ENSG00000184349,ENSG00000115966,ENSG00000214042,ENSG00000129682,ENSG00000196569,ENSG00000112640,ENSG00000127920,ENSG00000119535,ENSG00000136488,ENSG00000037280,ENSG00000170962,ENSG00000081052,ENSG00000127928,ENSG00000109072,ENSG00000116147,ENSG00000117461,ENSG00000165197,ENSG00000187266,ENSG00000017427,ENSG00000162434,ENSG00000169242,ENSG00000120332,ENSG00000113578,ENSG00000162344,ENSG00000150093,ENSG00000162188,ENSG00000153094,ENSG00000158815,ENSG00000112964,ENSG00000139679,ENSG00000051382,ENSG00000197919,ENSG00000176533,ENSG00000172179,ENSG00000132906,ENSG00000134871,ENSG00000099617,ENSG00000213218,ENSG00000005884,ENSG00000164867,ENSG00000168243,ENSG00000196468,ENSG00000169398,ENSG00000140443,ENSG00000120156,ENSG00000114450,ENSG00000096384,ENSG00000091879,ENSG00000186895,ENSG00000136244,ENSG00000196878,ENSG00000214827,ENSG00000168477,ENSG00000132356,ENSG00000130427,ENSG00000162409,ENSG00000135930,ENSG00000130702,ENSG00000171517,ENSG00000114279,ENSG00000167393,ENSG00000063046,ENSG00000147145,ENSG00000156475,ENSG00000077238,ENSG00000107831,ENSG00000187498,ENSG00000138685,ENSG00000269335,ENSG00000103479,ENSG00000119630,ENSG00000141510,ENSG00000118972,ENSG00000138448,ENSG00000182158,ENSG00000164171,ENSG00000132155,ENSG00000228083,ENSG00000140992,ENSG00000151247,ENSG00000106615,ENSG00000143127,ENSG00000110092,ENSG00000113575,ENSG00000136997,ENSG00000092020,ENSG00000105639,ENSG00000184371,ENSG00000167414,ENSG00000053747,ENSG00000164924,ENSG00000029559,ENSG00000161638,ENSG00000060718,ENSG00000173511,ENSG00000171502,ENSG00000117560,ENSG00000101049,ENSG00000160712,ENSG00000073009,ENSG00000270024,ENSG00000108443,ENSG00000137462,ENSG00000078579,ENSG00000177455,ENSG00000182578,ENSG00000167083,ENSG00000102882,ENSG00000146648,ENSG00000118515,ENSG00000118513,ENSG00000184574,ENSG00000181072,ENSG00000234829,ENSG00000175634,ENSG00000070193,ENSG00000115904,ENSG00000113296,ENSG00000196739,ENSG00000136869,ENSG00000134308,ENSG00000171855,ENSG00000142208,ENSG00000155629,ENSG00000073711,ENSG00000124762,ENSG00000204262,ENSG00000171608,ENSG00000173039,ENSG00000186803,ENSG00000104365,ENSG00000124253,ENSG00000104432,ENSG00000160447,ENSG00000120235,ENSG00000213231,ENSG00000066027,ENSG00000115414,ENSG00000064300,ENSG00000121879,ENSG00000174021,ENSG00000168539,ENSG00000127588,ENSG00000236637,ENSG00000105647,ENSG00000080824,ENSG00000078304,ENSG00000040199,ENSG00000213341,ENSG00000147873,ENSG00000104812,ENSG00000242616,ENSG00000091128,ENSG00000167965,ENSG00000135424,ENSG00000118689,ENSG00000049130,ENSG00000181104,ENSG00000187840,ENSG00000144668,ENSG00000109471,ENSG00000169047,ENSG00000101680,ENSG00000100721,ENSG00000065243,ENSG00000143590,ENSG00000164692,ENSG00000133703,ENSG00000134259,ENSG00000154001,ENSG00000101280,ENSG00000105810,ENSG00000137801,ENSG00000221914,ENSG00000118046,ENSG00000168542,ENSG00000145623,ENSG00000137809,ENSG00000170027,ENSG00000136457,ENSG00000159110,ENSG00000159445,ENSG00000105221
Dopaminergic synapse - Homo sapiens (human)	path:hsa04728	KEGG	ENSG00000107175,ENSG00000087258,ENSG00000105568,ENSG00000111664,ENSG00000168280,ENSG00000150995,ENSG00000066027,ENSG00000141404,ENSG00000101333,ENSG00000078369,ENSG00000183943,ENSG00000146592,ENSG00000157613,ENSG00000141480,ENSG00000198668,ENSG00000128272,ENSG00000160014,ENSG00000065135,ENSG00000172354,ENSG00000188130,ENSG00000149782,ENSG00000142875,ENSG00000143578,ENSG00000117020,ENSG00000182621,ENSG00000132437,ENSG00000186298,ENSG00000082701,ENSG00000156711,ENSG00000172531,ENSG00000092020,ENSG00000050748,ENSG00000184845,ENSG00000072062,ENSG00000070808,ENSG00000173175,ENSG00000145349,ENSG00000166501,ENSG00000060566,ENSG00000068971,ENSG00000058404,ENSG00000213676,ENSG00000118260,ENSG00000185386,ENSG00000175470,ENSG00000142319,ENSG00000186469,ENSG00000154229,ENSG00000074211,ENSG00000114450,ENSG00000036565,ENSG00000105723,ENSG00000114353,ENSG00000104695,ENSG00000162989,ENSG00000109339,ENSG00000112640,ENSG00000127920,ENSG00000120910,ENSG00000127928,ENSG00000137841,ENSG00000113575,ENSG00000165059,ENSG00000134852,ENSG00000151577,ENSG00000130643,ENSG00000162188,ENSG00000087460,ENSG00000157388,ENSG00000123104,ENSG00000148660,ENSG00000176533,ENSG00000141837,ENSG00000189221,ENSG00000169885,ENSG00000156475,ENSG00000168243,ENSG00000157542,ENSG00000126583,ENSG00000151067,ENSG00000144285,ENSG00000093010,ENSG00000155980,ENSG00000120251,ENSG00000127955,ENSG00000107758,ENSG00000069535,ENSG00000133794,ENSG00000178363,ENSG00000167393,ENSG00000180176,ENSG00000125675,ENSG00000182158,ENSG00000107643,ENSG00000213639,ENSG00000138814,ENSG00000167414,ENSG00000148408,ENSG00000178372,ENSG00000120457,ENSG00000273079,ENSG00000143933,ENSG00000167083,ENSG00000137713,ENSG00000073711,ENSG00000078304,ENSG00000142208,ENSG00000069696,ENSG00000165646,ENSG00000170345,ENSG00000112062,ENSG00000156052,ENSG00000096433,ENSG00000174021,ENSG00000127588,ENSG00000115966,ENSG00000242616,ENSG00000170759,ENSG00000162728,ENSG00000149295,ENSG00000221914,ENSG00000131771,ENSG00000154001,ENSG00000105221
Oocyte meiosis - Homo sapiens (human)	path:hsa04114	KEGG	ENSG00000113575,ENSG00000254647,ENSG00000105568,ENSG00000214575,ENSG00000135476,ENSG00000150995,ENSG00000166913,ENSG00000120910,ENSG00000163806,ENSG00000139151,ENSG00000169032,ENSG00000116670,ENSG00000072133,ENSG00000198668,ENSG00000164924,ENSG00000160014,ENSG00000175305,ENSG00000105173,ENSG00000096433,ENSG00000055130,ENSG00000112029,ENSG00000142875,ENSG00000078295,ENSG00000121281,ENSG00000108055,ENSG00000100030,ENSG00000186298,ENSG00000089053,ENSG00000172531,ENSG00000128245,ENSG00000108953,ENSG00000100387,ENSG00000113558,ENSG00000170312,ENSG00000070808,ENSG00000107864,ENSG00000173175,ENSG00000145349,ENSG00000176386,ENSG00000004897,ENSG00000072501,ENSG00000102882,ENSG00000068971,ENSG00000058404,ENSG00000221823,ENSG00000066923,ENSG00000250254,ENSG00000166851,ENSG00000172680,ENSG00000123374,ENSG00000104695,ENSG00000164742,ENSG00000072803,ENSG00000157456,ENSG00000112640,ENSG00000134057,ENSG00000170027,ENSG00000162104,ENSG00000165059,ENSG00000196510,ENSG00000017427,ENSG00000117399,ENSG00000169679,ENSG00000158402,ENSG00000113742,ENSG00000176248,ENSG00000072062,ENSG00000183943,ENSG00000137449,ENSG00000123104,ENSG00000148660,ENSG00000169885,ENSG00000071242,ENSG00000164109,ENSG00000140443,ENSG00000138814,ENSG00000107758,ENSG00000178363,ENSG00000174233,ENSG00000188386,ENSG00000156509,ENSG00000065613,ENSG00000087586,ENSG00000053900,ENSG00000155897,ENSG00000178372,ENSG00000164611,ENSG00000130177,ENSG00000100918,ENSG00000213639,ENSG00000143933,ENSG00000137713,ENSG00000127564,ENSG00000164162,ENSG00000077935,ENSG00000134308,ENSG00000153107,ENSG00000188130,ENSG00000066027,ENSG00000177189,ENSG00000078304,ENSG00000166167,ENSG00000082175,ENSG00000138031,ENSG00000204710,ENSG00000169083,ENSG00000129055,ENSG00000129810,ENSG00000129467,ENSG00000094880,ENSG00000141552,ENSG00000117676,ENSG00000154001
Jak-STAT signaling pathway - Homo sapiens (human)	path:hsa04630	KEGG	ENSG00000113525,ENSG00000214042,ENSG00000173757,ENSG00000027697,ENSG00000174564,ENSG00000142208,ENSG00000108342,ENSG00000137080,ENSG00000142677,ENSG00000078043,ENSG00000090534,ENSG00000183709,ENSG00000213218,ENSG00000197110,ENSG00000171608,ENSG00000105397,ENSG00000124334,ENSG00000100485,ENSG00000116678,ENSG00000137070,ENSG00000182393,ENSG00000100393,ENSG00000123496,ENSG00000171552,ENSG00000113520,ENSG00000117020,ENSG00000145675,ENSG00000111679,ENSG00000118971,ENSG00000095752,ENSG00000168685,ENSG00000145839,ENSG00000147896,ENSG00000164136,ENSG00000242689,ENSG00000142273,ENSG00000147168,ENSG00000113594,ENSG00000166888,ENSG00000185291,ENSG00000213928,ENSG00000114423,ENSG00000113494,ENSG00000117400,ENSG00000259384,ENSG00000274211,ENSG00000169194,ENSG00000168811,ENSG00000147885,ENSG00000134470,ENSG00000141506,ENSG00000142166,ENSG00000136158,ENSG00000136738,ENSG00000179295,ENSG00000168610,ENSG00000131724,ENSG00000233816,ENSG00000174697,ENSG00000110944,ENSG00000121879,ENSG00000134352,ENSG00000136488,ENSG00000136487,ENSG00000138378,ENSG00000150281,ENSG00000105851,ENSG00000164056,ENSG00000134460,ENSG00000112576,ENSG00000162594,ENSG00000119535,ENSG00000114737,ENSG00000117461,ENSG00000187266,ENSG00000162434,ENSG00000120242,ENSG00000099985,ENSG00000127318,ENSG00000112964,ENSG00000136634,ENSG00000051382,ENSG00000197919,ENSG00000172179,ENSG00000145777,ENSG00000081985,ENSG00000142224,ENSG00000136244,ENSG00000130427,ENSG00000115904,ENSG00000159128,ENSG00000243646,ENSG00000137193,ENSG00000077238,ENSG00000110395,ENSG00000138684,ENSG00000186803,ENSG00000166068,ENSG00000131788,ENSG00000016402,ENSG00000100368,ENSG00000177047,ENSG00000184995,ENSG00000228083,ENSG00000113302,ENSG00000110092,ENSG00000136997,ENSG00000105639,ENSG00000187678,ENSG00000033800,ENSG00000170581,ENSG00000188766,ENSG00000164400,ENSG00000111537,ENSG00000111536,ENSG00000103522,ENSG00000126561,ENSG00000185436,ENSG00000171855,ENSG00000110324,ENSG00000096968,ENSG00000122756,ENSG00000198369,ENSG00000104432,ENSG00000120235,ENSG00000115415,ENSG00000005339,ENSG00000115145,ENSG00000236637,ENSG00000105647,ENSG00000160712,ENSG00000180008,ENSG00000147873,ENSG00000128342,ENSG00000120833,ENSG00000109471,ENSG00000164399,ENSG00000175505,ENSG00000205755,ENSG00000234829,ENSG00000188379,ENSG00000105229,ENSG00000162892,ENSG00000145623,ENSG00000162891,ENSG00000159110,ENSG00000105221
TNF signaling pathway - Homo sapiens (human)	path:hsa04668	KEGG	ENSG00000107175,ENSG00000247077,ENSG00000087470,ENSG00000076984,ENSG00000164305,ENSG00000162302,ENSG00000127191,ENSG00000108691,ENSG00000107968,ENSG00000100030,ENSG00000006210,ENSG00000157227,ENSG00000169245,ENSG00000169032,ENSG00000108984,ENSG00000146592,ENSG00000226979,ENSG00000007908,ENSG00000157613,ENSG00000128272,ENSG00000081041,ENSG00000161570,ENSG00000188130,ENSG00000167207,ENSG00000150630,ENSG00000143578,ENSG00000117020,ENSG00000145675,ENSG00000112062,ENSG00000109320,ENSG00000064012,ENSG00000100324,ENSG00000157625,ENSG00000102871,ENSG00000125538,ENSG00000271503,ENSG00000050748,ENSG00000101384,ENSG00000131323,ENSG00000107643,ENSG00000078747,ENSG00000060566,ENSG00000100784,ENSG00000102882,ENSG00000232810,ENSG00000067182,ENSG00000128342,ENSG00000213676,ENSG00000197442,ENSG00000118260,ENSG00000185386,ENSG00000141506,ENSG00000069399,ENSG00000172216,ENSG00000006062,ENSG00000168040,ENSG00000121879,ENSG00000073756,ENSG00000162692,ENSG00000078401,ENSG00000105851,ENSG00000065559,ENSG00000115604,ENSG00000117461,ENSG00000168404,ENSG00000051382,ENSG00000177606,ENSG00000135341,ENSG00000056558,ENSG00000136244,ENSG00000023445,ENSG00000003402,ENSG00000003400,ENSG00000115009,ENSG00000026103,ENSG00000028137,ENSG00000149968,ENSG00000269335,ENSG00000182158,ENSG00000118503,ENSG00000184371,ENSG00000164136,ENSG00000109339,ENSG00000137275,ENSG00000073009,ENSG00000164400,ENSG00000163734,ENSG00000163735,ENSG00000082512,ENSG00000163739,ENSG00000142208,ENSG00000171608,ENSG00000187391,ENSG00000104365,ENSG00000170345,ENSG00000055208,ENSG00000100906,ENSG00000090339,ENSG00000165806,ENSG00000105647,ENSG00000115966,ENSG00000100985,ENSG00000171223,ENSG00000034152,ENSG00000129465,ENSG00000110330,ENSG00000213341,ENSG00000173039,ENSG00000156735,ENSG00000156711,ENSG00000105221
HTLV-I infection - Homo sapiens (human)	path:hsa05166	KEGG	ENSG00000134954,ENSG00000173757,ENSG00000151475,ENSG00000164930,ENSG00000106799,ENSG00000082898,ENSG00000204592,ENSG00000117461,ENSG00000141506,ENSG00000204642,ENSG00000158711,ENSG00000134245,ENSG00000168036,ENSG00000157456,ENSG00000120910,ENSG00000180340,ENSG00000125084,ENSG00000183943,ENSG00000118971,ENSG00000117399,ENSG00000132522,ENSG00000108379,ENSG00000213281,ENSG00000141510,ENSG00000128272,ENSG00000105662,ENSG00000162772,ENSG00000075711,ENSG00000111186,ENSG00000104365,ENSG00000100393,ENSG00000171552,ENSG00000103043,ENSG00000078295,ENSG00000117020,ENSG00000227357,ENSG00000121281,ENSG00000145675,ENSG00000204632,ENSG00000007968,ENSG00000159958,ENSG00000175387,ENSG00000109320,ENSG00000198851,ENSG00000147168,ENSG00000164136,ENSG00000196367,ENSG00000113721,ENSG00000082701,ENSG00000089053,ENSG00000169100,ENSG00000112658,ENSG00000065559,ENSG00000006062,ENSG00000196101,ENSG00000072062,ENSG00000107643,ENSG00000149554,ENSG00000173175,ENSG00000223865,ENSG00000005339,ENSG00000110092,ENSG00000004975,ENSG00000176386,ENSG00000101096,ENSG00000004897,ENSG00000164611,ENSG00000090339,ENSG00000232810,ENSG00000067182,ENSG00000221823,ENSG00000174804,ENSG00000147883,ENSG00000160255,ENSG00000118260,ENSG00000147889,ENSG00000101017,ENSG00000134470,ENSG00000179218,ENSG00000174775,ENSG00000100311,ENSG00000167286,ENSG00000250254,ENSG00000185697,ENSG00000128016,ENSG00000171914,ENSG00000157240,ENSG00000112576,ENSG00000085741,ENSG00000121879,ENSG00000066336,ENSG00000104856,ENSG00000151729,ENSG00000175054,ENSG00000100479,ENSG00000156970,ENSG00000179344,ENSG00000122877,ENSG00000115590,ENSG00000134460,ENSG00000198909,ENSG00000115594,ENSG00000164742,ENSG00000115596,ENSG00000196126,ENSG00000105851,ENSG00000182521,ENSG00000134982,ENSG00000104290,ENSG00000140577,ENSG00000107404,ENSG00000162692,ENSG00000100300,ENSG00000127022,ENSG00000101412,ENSG00000157557,ENSG00000115350,ENSG00000099901,ENSG00000132341,ENSG00000198502,ENSG00000154764,ENSG00000123080,ENSG00000162104,ENSG00000143816,ENSG00000134853,ENSG00000196510,ENSG00000117394,ENSG00000101966,ENSG00000162434,ENSG00000112242,ENSG00000158955,ENSG00000206503,ENSG00000176248,ENSG00000213585,ENSG00000172977,ENSG00000204287,ENSG00000105329,ENSG00000051382,ENSG00000155760,ENSG00000177606,ENSG00000077514,ENSG00000154473,ENSG00000165059,ENSG00000169884,ENSG00000231389,ENSG00000115266,ENSG00000092969,ENSG00000164109,ENSG00000149311,ENSG00000136244,ENSG00000135446,ENSG00000138814,ENSG00000077150,ENSG00000226979,ENSG00000160752,ENSG00000188064,ENSG00000107758,ENSG00000177283,ENSG00000120738,ENSG00000241106,ENSG00000165637,ENSG00000174233,ENSG00000130177,ENSG00000188386,ENSG00000161202,ENSG00000175592,ENSG00000269335,ENSG00000095015,ENSG00000158186,ENSG00000005022,ENSG00000075290,ENSG00000071564,ENSG00000061492,ENSG00000099250,ENSG00000204525,ENSG00000094880,ENSG00000114166,ENSG00000136997,ENSG00000106628,ENSG00000105639,ENSG00000053900,ENSG00000163513,ENSG00000123268,ENSG00000120149,ENSG00000166949,ENSG00000119699,ENSG00000111432,ENSG00000160741,ENSG00000137076,ENSG00000155897,ENSG00000073009,ENSG00000242574,ENSG00000164400,ENSG00000162552,ENSG00000188763,ENSG00000183765,ENSG00000108773,ENSG00000062822,ENSG00000237541,ENSG00000078668,ENSG00000175482,ENSG00000118513,ENSG00000126561,ENSG00000139687,ENSG00000120837,ENSG00000164162,ENSG00000105989,ENSG00000031823,ENSG00000112592,ENSG00000153107,ENSG00000142208,ENSG00000124762,ENSG00000171608,ENSG00000173039,ENSG00000182866,ENSG00000170345,ENSG00000100968,ENSG00000126767,ENSG00000095794,ENSG00000100219,ENSG00000148229,ENSG00000132646,ENSG00000234745,ENSG00000100906,ENSG00000028839,ENSG00000131196,ENSG00000072736,ENSG00000114251,ENSG00000105647,ENSG00000163251,ENSG00000111321,ENSG00000115966,ENSG00000138031,ENSG00000101057,ENSG00000070501,ENSG00000126458,ENSG00000142875,ENSG00000160654,ENSG00000129467,ENSG00000109471,ENSG00000133818,ENSG00000087088,ENSG00000204257,ENSG00000133703,ENSG00000204252,ENSG00000163132,ENSG00000213341,ENSG00000177084,ENSG00000002745,ENSG00000141552,ENSG00000154342,ENSG00000141646,ENSG00000135925,ENSG00000196735,ENSG00000105221
mRNA surveillance pathway - Homo sapiens (human)	path:hsa03015	KEGG	ENSG00000115421,ENSG00000103342,ENSG00000105568,ENSG00000100836,ENSG00000111196,ENSG00000198952,ENSG00000157106,ENSG00000101138,ENSG00000185554,ENSG00000186288,ENSG00000254535,ENSG00000133226,ENSG00000165494,ENSG00000137713,ENSG00000258643,ENSG00000221914,ENSG00000136709,ENSG00000116698,ENSG00000183684,ENSG00000186298,ENSG00000112339,ENSG00000149532,ENSG00000172531,ENSG00000070756,ENSG00000185945,ENSG00000100813,ENSG00000068971,ENSG00000111880,ENSG00000147206,ENSG00000156475,ENSG00000175470,ENSG00000071626,ENSG00000101654,ENSG00000165934,ENSG00000074211,ENSG00000125351,ENSG00000145216,ENSG00000090060,ENSG00000125755,ENSG00000104695,ENSG00000162385,ENSG00000174740,ENSG00000112640,ENSG00000113575,ENSG00000101888,ENSG00000071894,ENSG00000131795,ENSG00000150459,ENSG00000120705,ENSG00000184388,ENSG00000101811,ENSG00000114503,ENSG00000100941,ENSG00000151461,ENSG00000167393,ENSG00000132661,ENSG00000170473,ENSG00000136937,ENSG00000177613,ENSG00000162231,ENSG00000119203,ENSG00000198563,ENSG00000092020,ENSG00000169062,ENSG00000101104,ENSG00000126952,ENSG00000172409,ENSG00000269437,ENSG00000213639,ENSG00000111605,ENSG00000073711,ENSG00000176102,ENSG00000078304,ENSG00000151846,ENSG00000070366,ENSG00000265241,ENSG00000141543,ENSG00000066027,ENSG00000269405,ENSG00000160917,ENSG00000160075,ENSG00000189369,ENSG00000152684,ENSG00000164091,ENSG00000218823,ENSG00000005007,ENSG00000205937,ENSG00000090621,ENSG00000205022,ENSG00000135097,ENSG00000108349,ENSG00000167005,ENSG00000154001
Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	path:hsa04261	KEGG	ENSG00000107175,ENSG00000105568,ENSG00000165059,ENSG00000006116,ENSG00000066027,ENSG00000101333,ENSG00000100030,ENSG00000183943,ENSG00000070961,ENSG00000075429,ENSG00000081248,ENSG00000157613,ENSG00000092054,ENSG00000198668,ENSG00000128272,ENSG00000183023,ENSG00000160014,ENSG00000065135,ENSG00000188130,ENSG00000149782,ENSG00000142875,ENSG00000143578,ENSG00000078295,ENSG00000135447,ENSG00000117020,ENSG00000121281,ENSG00000145675,ENSG00000182621,ENSG00000067191,ENSG00000136546,ENSG00000120907,ENSG00000142408,ENSG00000140416,ENSG00000095794,ENSG00000186298,ENSG00000180509,ENSG00000172531,ENSG00000092020,ENSG00000198523,ENSG00000198336,ENSG00000129991,ENSG00000160808,ENSG00000070808,ENSG00000197616,ENSG00000007402,ENSG00000173175,ENSG00000171791,ENSG00000060566,ENSG00000100784,ENSG00000067842,ENSG00000102882,ENSG00000143549,ENSG00000068971,ENSG00000058404,ENSG00000213676,ENSG00000221914,ENSG00000144891,ENSG00000118260,ENSG00000185386,ENSG00000175470,ENSG00000141506,ENSG00000101892,ENSG00000148660,ENSG00000154229,ENSG00000157087,ENSG00000137731,ENSG00000074211,ENSG00000177098,ENSG00000105605,ENSG00000156711,ENSG00000121879,ENSG00000165995,ENSG00000132681,ENSG00000104695,ENSG00000114353,ENSG00000164742,ENSG00000169885,ENSG00000075461,ENSG00000159251,ENSG00000043591,ENSG00000163399,ENSG00000111245,ENSG00000105409,ENSG00000112640,ENSG00000137841,ENSG00000167535,ENSG00000162104,ENSG00000117461,ENSG00000072062,ENSG00000129244,ENSG00000087460,ENSG00000157388,ENSG00000114854,ENSG00000051382,ENSG00000079337,ENSG00000091428,ENSG00000105711,ENSG00000143153,ENSG00000198626,ENSG00000156475,ENSG00000146592,ENSG00000151067,ENSG00000171873,ENSG00000102001,ENSG00000127955,ENSG00000174437,ENSG00000178363,ENSG00000167393,ENSG00000174233,ENSG00000108878,ENSG00000105851,ENSG00000182158,ENSG00000180772,ENSG00000166862,ENSG00000058668,ENSG00000153956,ENSG00000113575,ENSG00000155897,ENSG00000170214,ENSG00000178372,ENSG00000213639,ENSG00000143933,ENSG00000137713,ENSG00000069849,ENSG00000073711,ENSG00000078304,ENSG00000182389,ENSG00000142208,ENSG00000171608,ENSG00000112062,ENSG00000053918,ENSG00000156052,ENSG00000090020,ENSG00000018625,ENSG00000105647,ENSG00000167460,ENSG00000115966,ENSG00000138031,ENSG00000151062,ENSG00000129467,ENSG00000198467,ENSG00000145349,ENSG00000169252,ENSG00000157445,ENSG00000183873,ENSG00000154001,ENSG00000118194,ENSG00000105221
N-Glycan biosynthesis - Homo sapiens (human)	path:hsa00510	KEGG	ENSG00000120697,ENSG00000214160,ENSG00000172269,ENSG00000104723,ENSG00000119523,ENSG00000089597,ENSG00000000419,ENSG00000111885,ENSG00000139133,ENSG00000158850,ENSG00000168282,ENSG00000253710,ENSG00000167889,ENSG00000177239,ENSG00000131446,ENSG00000073849,ENSG00000163902,ENSG00000172339,ENSG00000088035,ENSG00000196547,ENSG00000167130,ENSG00000175548,ENSG00000117643,ENSG00000244038,ENSG00000117411,ENSG00000086062,ENSG00000159063,ENSG00000198162,ENSG00000086848,ENSG00000112893,ENSG00000144057,ENSG00000152127,ENSG00000163527,ENSG00000175283,ENSG00000129562,ENSG00000205301,ENSG00000161013,ENSG00000182858,ENSG00000182050,ENSG00000115275,ENSG00000179085,ENSG00000033170,ENSG00000033011,ENSG00000118705,ENSG00000128268,ENSG00000134910,ENSG00000101901,ENSG00000071073,ENSG00000136908
AMPK signaling pathway - Homo sapiens (human)	path:hsa04152	KEGG	ENSG00000160741,ENSG00000107175,ENSG00000198793,ENSG00000254647,ENSG00000105568,ENSG00000082146,ENSG00000145386,ENSG00000170525,ENSG00000065882,ENSG00000104388,ENSG00000159346,ENSG00000146592,ENSG00000141564,ENSG00000157613,ENSG00000116678,ENSG00000133124,ENSG00000266173,ENSG00000137713,ENSG00000120907,ENSG00000076555,ENSG00000143578,ENSG00000067057,ENSG00000117020,ENSG00000145675,ENSG00000205560,ENSG00000084733,ENSG00000119396,ENSG00000099194,ENSG00000177169,ENSG00000131482,ENSG00000001626,ENSG00000103197,ENSG00000092020,ENSG00000158571,ENSG00000152254,ENSG00000060566,ENSG00000068971,ENSG00000118260,ENSG00000175470,ENSG00000141506,ENSG00000100889,ENSG00000185950,ENSG00000074211,ENSG00000174697,ENSG00000121879,ENSG00000167461,ENSG00000111713,ENSG00000096717,ENSG00000104695,ENSG00000115592,ENSG00000105851,ENSG00000112640,ENSG00000169169,ENSG00000169047,ENSG00000135218,ENSG00000113575,ENSG00000117461,ENSG00000072310,ENSG00000150907,ENSG00000017427,ENSG00000006831,ENSG00000113161,ENSG00000131791,ENSG00000181092,ENSG00000051382,ENSG00000181856,ENSG00000135341,ENSG00000145284,ENSG00000079435,ENSG00000156475,ENSG00000004660,ENSG00000130957,ENSG00000140443,ENSG00000109819,ENSG00000101076,ENSG00000066044,ENSG00000132356,ENSG00000133101,ENSG00000162409,ENSG00000135932,ENSG00000132170,ENSG00000167393,ENSG00000102547,ENSG00000152556,ENSG00000182158,ENSG00000204673,ENSG00000106617,ENSG00000106615,ENSG00000110092,ENSG00000110090,ENSG00000140992,ENSG00000103150,ENSG00000167658,ENSG00000141349,ENSG00000132142,ENSG00000114268,ENSG00000169710,ENSG00000108443,ENSG00000111725,ENSG00000141959,ENSG00000181929,ENSG00000073711,ENSG00000175634,ENSG00000142208,ENSG00000185236,ENSG00000103319,ENSG00000171608,ENSG00000124253,ENSG00000066027,ENSG00000105647,ENSG00000078304,ENSG00000104812,ENSG00000278540,ENSG00000118689,ENSG00000187840,ENSG00000165140,ENSG00000123836,ENSG00000221914,ENSG00000118046,ENSG00000110931,ENSG00000154001,ENSG00000105221
