GENE_ID	counts
ENSG00000234515	0
ENSG00000264113	7955
ENSG00000243514	0
ENSG00000103415	121
ENSG00000163106	176
ENSG00000240541	423
ENSG00000146574	0
ENSG00000200554	0
ENSG00000260107	0
ENSG00000230271	0
ENSG00000230406	0
ENSG00000089177	95
ENSG00000201393	1624
ENSG00000269049	0
ENSG00000237748	0
ENSG00000265085	16
ENSG00000172339	1540
ENSG00000239939	4132
ENSG00000260978	0
ENSG00000257953	9
ENSG00000214922	0
ENSG00000201913	107
ENSG00000200812	2
ENSG00000088543	170
ENSG00000259683	52
ENSG00000235052	0
ENSG00000205885	0
ENSG00000256845	0
ENSG00000154814	0
ENSG00000111249	0
ENSG00000225796	3
ENSG00000228943	762
ENSG00000215131	599
ENSG00000186088	0
ENSG00000258407	0
ENSG00000225903	0
ENSG00000252247	1
ENSG00000066027	0
ENSG00000086506	0
ENSG00000228413	0
ENSG00000185278	0
ENSG00000250976	2092
ENSG00000197851	13
ENSG00000237745	0
ENSG00000113722	4250
ENSG00000162624	67
ENSG00000271797	1567
ENSG00000109684	0
ENSG00000221204	0
ENSG00000234253	0
ENSG00000214556	182
ENSG00000244464	35
ENSG00000213757	34
ENSG00000269653	21
ENSG00000254023	1063
ENSG00000236108	5
ENSG00000213356	0
ENSG00000151917	0
ENSG00000252759	50
ENSG00000131408	2
ENSG00000207637	2715
ENSG00000050030	2833
ENSG00000230757	439
ENSG00000236790	0
ENSG00000234705	0
ENSG00000250730	0
ENSG00000268164	0
ENSG00000251687	0
ENSG00000256364	3830
ENSG00000250754	0
ENSG00000207036	2892
ENSG00000171136	1
ENSG00000258475	0
ENSG00000031823	0
ENSG00000259191	2
ENSG00000260272	0
ENSG00000263796	7
ENSG00000260088	164
ENSG00000253650	108
ENSG00000238769	0
ENSG00000143630	12
ENSG00000238469	3
ENSG00000196420	2058
ENSG00000254851	0
ENSG00000235303	1416
ENSG00000006210	197
ENSG00000183292	0
ENSG00000202356	1
ENSG00000232453	82
ENSG00000236121	0
ENSG00000142677	0
ENSG00000250031	0
ENSG00000217801	50
ENSG00000256663	5
ENSG00000203706	0
ENSG00000225842	0
ENSG00000248152	5751
ENSG00000107796	0
ENSG00000269038	0
ENSG00000216114	2875
