GENE_ID	counts
ENSG00000234515	0
ENSG00000264113	364
ENSG00000243514	911
ENSG00000103415	244
ENSG00000163106	2255
ENSG00000240541	0
ENSG00000146574	0
ENSG00000200554	1
ENSG00000260107	429
ENSG00000230271	0
ENSG00000230406	59
ENSG00000089177	117
ENSG00000201393	2
ENSG00000269049	1
ENSG00000237748	0
ENSG00000265085	2647
ENSG00000172339	4
ENSG00000239939	2725
ENSG00000260978	0
ENSG00000257953	4532
ENSG00000214922	1
ENSG00000201913	53260
ENSG00000200812	0
ENSG00000088543	0
ENSG00000259683	146
ENSG00000235052	7550
ENSG00000205885	0
ENSG00000256845	0
ENSG00000154814	0
ENSG00000111249	8
ENSG00000225796	13
ENSG00000228943	0
ENSG00000215131	3149
ENSG00000186088	3704
ENSG00000258407	0
ENSG00000225903	1
ENSG00000252247	0
ENSG00000066027	0
ENSG00000086506	0
ENSG00000228413	0
ENSG00000185278	0
ENSG00000250976	0
ENSG00000197851	0
ENSG00000237745	0
ENSG00000113722	0
ENSG00000162624	0
ENSG00000271797	2965
ENSG00000109684	57
ENSG00000221204	1
ENSG00000234253	0
ENSG00000214556	0
ENSG00000244464	0
ENSG00000213757	0
ENSG00000269653	0
ENSG00000254023	1
ENSG00000236108	0
ENSG00000213356	10
ENSG00000151917	0
ENSG00000252759	25
ENSG00000131408	84380
ENSG00000207637	0
ENSG00000050030	0
ENSG00000230757	5
ENSG00000236790	3
ENSG00000234705	0
ENSG00000250730	0
ENSG00000268164	0
ENSG00000251687	7
ENSG00000256364	0
ENSG00000250754	25
ENSG00000207036	0
ENSG00000171136	0
ENSG00000258475	1
ENSG00000031823	0
ENSG00000259191	3631
ENSG00000260272	0
ENSG00000263796	0
ENSG00000260088	0
ENSG00000253650	0
ENSG00000238769	1
ENSG00000143630	0
ENSG00000238469	4
ENSG00000196420	946
ENSG00000254851	0
ENSG00000235303	75
ENSG00000006210	21555
ENSG00000183292	7
ENSG00000202356	0
ENSG00000232453	201
ENSG00000236121	32
ENSG00000142677	0
ENSG00000250031	2249
ENSG00000217801	0
ENSG00000256663	140
ENSG00000203706	21
ENSG00000225842	6
ENSG00000248152	9
ENSG00000107796	0
ENSG00000269038	3
ENSG00000216114	0
