GENE_ID	counts
ENSG00000234515	5
ENSG00000264113	1
ENSG00000243514	0
ENSG00000103415	2
ENSG00000163106	23
ENSG00000240541	1
ENSG00000146574	0
ENSG00000200554	0
ENSG00000260107	0
ENSG00000230271	2516
ENSG00000230406	1117
ENSG00000089177	1
ENSG00000201393	2
ENSG00000269049	0
ENSG00000237748	51
ENSG00000265085	706
ENSG00000172339	0
ENSG00000239939	0
ENSG00000260978	0
ENSG00000257953	24
ENSG00000214922	7
ENSG00000201913	42
ENSG00000200812	354
ENSG00000088543	2
ENSG00000259683	3311
ENSG00000235052	4
ENSG00000205885	0
ENSG00000256845	90
ENSG00000154814	3153
ENSG00000111249	15
ENSG00000225796	0
ENSG00000228943	1348
ENSG00000215131	0
ENSG00000186088	4
ENSG00000258407	1112
ENSG00000225903	2
ENSG00000252247	0
ENSG00000066027	50
ENSG00000086506	0
ENSG00000228413	2
ENSG00000185278	5270
ENSG00000250976	1033
ENSG00000197851	0
ENSG00000237745	13
ENSG00000113722	0
ENSG00000162624	0
ENSG00000271797	0
ENSG00000109684	20004
ENSG00000221204	0
ENSG00000234253	2
ENSG00000214556	0
ENSG00000244464	15
ENSG00000213757	0
ENSG00000269653	0
ENSG00000254023	119
ENSG00000236108	0
ENSG00000213356	7
ENSG00000151917	4
ENSG00000252759	6964
ENSG00000131408	938
ENSG00000207637	0
ENSG00000050030	1216
ENSG00000230757	0
ENSG00000236790	0
ENSG00000234705	31
ENSG00000250730	27
ENSG00000268164	0
ENSG00000251687	4620
ENSG00000256364	0
ENSG00000250754	0
ENSG00000207036	0
ENSG00000171136	9
ENSG00000258475	8233
ENSG00000031823	1
ENSG00000259191	2
ENSG00000260272	0
ENSG00000263796	6120
ENSG00000260088	0
ENSG00000253650	0
ENSG00000238769	0
ENSG00000143630	48
ENSG00000238469	0
ENSG00000196420	81
ENSG00000254851	3164
ENSG00000235303	0
ENSG00000006210	2430
ENSG00000183292	62
ENSG00000202356	0
ENSG00000232453	0
ENSG00000236121	0
ENSG00000142677	1
ENSG00000250031	0
ENSG00000217801	2244
ENSG00000256663	0
ENSG00000203706	0
ENSG00000225842	0
ENSG00000248152	3603
ENSG00000107796	142
ENSG00000269038	0
ENSG00000216114	63
