GENE_ID	counts
ENSG00000234515	0
ENSG00000264113	17293
ENSG00000243514	1
ENSG00000103415	369
ENSG00000163106	1
ENSG00000240541	50
ENSG00000146574	0
ENSG00000200554	0
ENSG00000260107	0
ENSG00000230271	968
ENSG00000230406	0
ENSG00000089177	6346
ENSG00000201393	11
ENSG00000269049	0
ENSG00000237748	1
ENSG00000265085	9
ENSG00000172339	0
ENSG00000239939	10
ENSG00000260978	24
ENSG00000257953	0
ENSG00000214922	25
ENSG00000201913	1215
ENSG00000200812	0
ENSG00000088543	0
ENSG00000259683	0
ENSG00000235052	0
ENSG00000205885	0
ENSG00000256845	40
ENSG00000154814	11
ENSG00000111249	23
ENSG00000225796	107
ENSG00000228943	7
ENSG00000215131	0
ENSG00000186088	22
ENSG00000258407	5
ENSG00000225903	3
ENSG00000252247	0
ENSG00000066027	0
ENSG00000086506	0
ENSG00000228413	5649
ENSG00000185278	0
ENSG00000250976	4529
ENSG00000197851	3
ENSG00000237745	0
ENSG00000113722	0
ENSG00000162624	6814
ENSG00000271797	0
ENSG00000109684	0
ENSG00000221204	0
ENSG00000234253	2
ENSG00000214556	0
ENSG00000244464	0
ENSG00000213757	0
ENSG00000269653	41
ENSG00000254023	0
ENSG00000236108	68
ENSG00000213356	2558
ENSG00000151917	3995
ENSG00000252759	1
ENSG00000131408	0
ENSG00000207637	0
ENSG00000050030	7625
ENSG00000230757	0
ENSG00000236790	16
ENSG00000234705	8502
ENSG00000250730	0
ENSG00000268164	3240
ENSG00000251687	0
ENSG00000256364	0
ENSG00000250754	3
ENSG00000207036	0
ENSG00000171136	0
ENSG00000258475	0
ENSG00000031823	0
ENSG00000259191	0
ENSG00000260272	2
ENSG00000263796	0
ENSG00000260088	7
ENSG00000253650	0
ENSG00000238769	2
ENSG00000143630	0
ENSG00000238469	0
ENSG00000196420	0
ENSG00000254851	0
ENSG00000235303	14
ENSG00000006210	7
ENSG00000183292	788
ENSG00000202356	5
ENSG00000232453	3957
ENSG00000236121	0
ENSG00000142677	38
ENSG00000250031	113
ENSG00000217801	0
ENSG00000256663	1
ENSG00000203706	4
ENSG00000225842	11648
ENSG00000248152	0
ENSG00000107796	0
ENSG00000269038	667
ENSG00000216114	0
