GENE_ID	counts
ENSG00000234515	7
ENSG00000264113	0
ENSG00000243514	2399
ENSG00000103415	3
ENSG00000163106	0
ENSG00000240541	0
ENSG00000146574	9
ENSG00000200554	0
ENSG00000260107	86
ENSG00000230271	6626
ENSG00000230406	0
ENSG00000089177	9
ENSG00000201393	99
ENSG00000269049	3
ENSG00000237748	0
ENSG00000265085	0
ENSG00000172339	0
ENSG00000239939	0
ENSG00000260978	3016
ENSG00000257953	206
ENSG00000214922	1
ENSG00000201913	79
ENSG00000200812	2541
ENSG00000088543	31
ENSG00000259683	0
ENSG00000235052	0
ENSG00000205885	477
ENSG00000256845	0
ENSG00000154814	3776
ENSG00000111249	0
ENSG00000225796	0
ENSG00000228943	7149
ENSG00000215131	0
ENSG00000186088	0
ENSG00000258407	119
ENSG00000225903	49
ENSG00000252247	0
ENSG00000066027	7
ENSG00000086506	0
ENSG00000228413	22
ENSG00000185278	0
ENSG00000250976	0
ENSG00000197851	2588
ENSG00000237745	0
ENSG00000113722	6
ENSG00000162624	1
ENSG00000271797	725
ENSG00000109684	102
ENSG00000221204	0
ENSG00000234253	0
ENSG00000214556	17
ENSG00000244464	0
ENSG00000213757	0
ENSG00000269653	0
ENSG00000254023	40
ENSG00000236108	0
ENSG00000213356	1
ENSG00000151917	0
ENSG00000252759	0
ENSG00000131408	747
ENSG00000207637	1
ENSG00000050030	0
ENSG00000230757	0
ENSG00000236790	0
ENSG00000234705	0
ENSG00000250730	19
ENSG00000268164	4538
ENSG00000251687	21
ENSG00000256364	0
ENSG00000250754	2444
ENSG00000207036	0
ENSG00000171136	1
ENSG00000258475	0
ENSG00000031823	2
ENSG00000259191	204
ENSG00000260272	6854
ENSG00000263796	38
ENSG00000260088	0
ENSG00000253650	1
ENSG00000238769	0
ENSG00000143630	105
ENSG00000238469	0
ENSG00000196420	1
ENSG00000254851	0
ENSG00000235303	0
ENSG00000006210	0
ENSG00000183292	0
ENSG00000202356	0
ENSG00000232453	39
ENSG00000236121	6
ENSG00000142677	9796
ENSG00000250031	5
ENSG00000217801	0
ENSG00000256663	0
ENSG00000203706	0
ENSG00000225842	0
ENSG00000248152	0
ENSG00000107796	0
ENSG00000269038	0
ENSG00000216114	13987
