GENE_ID	counts
ENSG00000234515	0
ENSG00000264113	0
ENSG00000243514	0
ENSG00000103415	1
ENSG00000163106	28
ENSG00000240541	0
ENSG00000146574	0
ENSG00000200554	109
ENSG00000260107	0
ENSG00000230271	5
ENSG00000230406	6
ENSG00000089177	0
ENSG00000201393	0
ENSG00000269049	1
ENSG00000237748	0
ENSG00000265085	0
ENSG00000172339	6843
ENSG00000239939	3
ENSG00000260978	0
ENSG00000257953	0
ENSG00000214922	30303
ENSG00000201913	2
ENSG00000200812	4174
ENSG00000088543	0
ENSG00000259683	8
ENSG00000235052	0
ENSG00000205885	17
ENSG00000256845	3
ENSG00000154814	9
ENSG00000111249	0
ENSG00000225796	0
ENSG00000228943	0
ENSG00000215131	4
ENSG00000186088	0
ENSG00000258407	1325
ENSG00000225903	1
ENSG00000252247	0
ENSG00000066027	350
ENSG00000086506	0
ENSG00000228413	130516
ENSG00000185278	5442
ENSG00000250976	0
ENSG00000197851	61
ENSG00000237745	63
ENSG00000113722	0
ENSG00000162624	0
ENSG00000271797	50
ENSG00000109684	20
ENSG00000221204	579
ENSG00000234253	0
ENSG00000214556	1
ENSG00000244464	9388
ENSG00000213757	0
ENSG00000269653	0
ENSG00000254023	0
ENSG00000236108	26
ENSG00000213356	0
ENSG00000151917	1
ENSG00000252759	605
ENSG00000131408	364
ENSG00000207637	0
ENSG00000050030	1282
ENSG00000230757	0
ENSG00000236790	3020
ENSG00000234705	0
ENSG00000250730	0
ENSG00000268164	0
ENSG00000251687	0
ENSG00000256364	59
ENSG00000250754	2542
ENSG00000207036	0
ENSG00000171136	0
ENSG00000258475	0
ENSG00000031823	0
ENSG00000259191	0
ENSG00000260272	0
ENSG00000263796	2338
ENSG00000260088	3
ENSG00000253650	0
ENSG00000238769	0
ENSG00000143630	0
ENSG00000238469	4
ENSG00000196420	1
ENSG00000254851	2043
ENSG00000235303	0
ENSG00000006210	0
ENSG00000183292	1681
ENSG00000202356	0
ENSG00000232453	0
ENSG00000236121	0
ENSG00000142677	714
ENSG00000250031	21
ENSG00000217801	0
ENSG00000256663	0
ENSG00000203706	0
ENSG00000225842	9672
ENSG00000248152	0
ENSG00000107796	1119
ENSG00000269038	77211
ENSG00000216114	0
