ENSEMBL	GO	EVIDENCE	ONTOLOGY	TERM
ENSG00000103415	GO:0001666	IDA	BP	response to hypoxia
ENSG00000103415	GO:0004392	IDA	MF	heme oxygenase (decyclizing) activity
ENSG00000103415	GO:0005515	IPI	MF	protein binding
ENSG00000103415	GO:0005789	TAS	CC	endoplasmic reticulum membrane
ENSG00000103415	GO:0005886	IDA	CC	plasma membrane
ENSG00000103415	GO:0006778	TAS	BP	porphyrin-containing compound metabolic process
ENSG00000103415	GO:0006788	IEA	BP	heme oxidation
ENSG00000103415	GO:0006879	TAS	BP	cellular iron ion homeostasis
ENSG00000103415	GO:0016020	IDA	CC	membrane
ENSG00000103415	GO:0042167	TAS	BP	heme catabolic process
ENSG00000103415	GO:0044281	TAS	BP	small molecule metabolic process
ENSG00000103415	GO:0046872	IEA	MF	metal ion binding
ENSG00000103415	GO:0055085	TAS	BP	transmembrane transport
ENSG00000163106	GO:0000287	IDA	MF	magnesium ion binding
ENSG00000163106	GO:0004364	IEA	MF	glutathione transferase activity
ENSG00000163106	GO:0004667	EXP	MF	prostaglandin-D synthase activity
ENSG00000163106	GO:0004667	IDA	MF	prostaglandin-D synthase activity
ENSG00000163106	GO:0005509	IDA	MF	calcium ion binding
ENSG00000163106	GO:0005515	IPI	MF	protein binding
ENSG00000163106	GO:0005737	TAS	CC	cytoplasm
ENSG00000163106	GO:0005829	TAS	CC	cytosol
ENSG00000163106	GO:0006693	IDA	BP	prostaglandin metabolic process
ENSG00000163106	GO:0006805	TAS	BP	xenobiotic metabolic process
ENSG00000163106	GO:0007165	NAS	BP	signal transduction
ENSG00000163106	GO:0007626	TAS	BP	locomotory behavior
ENSG00000163106	GO:0019369	TAS	BP	arachidonic acid metabolic process
ENSG00000163106	GO:0019371	TAS	BP	cyclooxygenase pathway
ENSG00000163106	GO:0042803	IPI	MF	protein homodimerization activity
ENSG00000163106	GO:0044281	TAS	BP	small molecule metabolic process
ENSG00000163106	GO:1901687	TAS	BP	glutathione derivative biosynthetic process
ENSG00000146574	GO:0005765	IEA	CC	lysosomal membrane
ENSG00000146574	GO:0016192	IBA	BP	vesicle-mediated transport
ENSG00000146574	GO:0031988	IBA	CC	membrane-bounded vesicle
ENSG00000146574	GO:0043231	IBA	CC	intracellular membrane-bounded organelle
ENSG00000089177	GO:0001704	ISS	BP	formation of primary germ layer
ENSG00000089177	GO:0001919	IMP	BP	regulation of receptor recycling
ENSG00000089177	GO:0005524	IEA	MF	ATP binding
ENSG00000089177	GO:0005547	IDA	MF	phosphatidylinositol-3,4,5-trisphosphate binding
ENSG00000089177	GO:0005768	IDA	CC	endosome
ENSG00000089177	GO:0005769	IDA	CC	early endosome
ENSG00000089177	GO:0005871	IBA	CC	kinesin complex
ENSG00000089177	GO:0005874	IEA	CC	microtubule
ENSG00000089177	GO:0006895	ISS	BP	Golgi to endosome transport
ENSG00000089177	GO:0007018	IBA	BP	microtubule-based movement
ENSG00000089177	GO:0007173	IMP	BP	epidermal growth factor receptor signaling pathway
ENSG00000089177	GO:0007492	ISS	BP	endoderm development
ENSG00000089177	GO:0008017	IEA	MF	microtubule binding
ENSG00000089177	GO:0008543	ISS	BP	fibroblast growth factor receptor signaling pathway
ENSG00000089177	GO:0008574	IDA	MF	ATP-dependent microtubule motor activity, plus-end-directed
ENSG00000089177	GO:0016887	IBA	MF	ATPase activity
ENSG00000089177	GO:0017137	IEA	MF	Rab GTPase binding
ENSG00000089177	GO:0031901	IEA	CC	early endosome membrane
ENSG00000089177	GO:0032266	IDA	MF	phosphatidylinositol-3-phosphate binding
ENSG00000089177	GO:0032801	IMP	BP	receptor catabolic process
ENSG00000089177	GO:0043325	IDA	MF	phosphatidylinositol-3,4-bisphosphate binding
ENSG00000089177	GO:0045022	IMP	BP	early endosome to late endosome transport
ENSG00000089177	GO:0080025	IDA	MF	phosphatidylinositol-3,5-bisphosphate binding
ENSG00000172339	GO:0005789	TAS	CC	endoplasmic reticulum membrane
ENSG00000172339	GO:0006488	TAS	BP	dolichol-linked oligosaccharide biosynthetic process
ENSG00000172339	GO:0016021	IEA	CC	integral component of membrane
ENSG00000172339	GO:0018279	TAS	BP	protein N-linked glycosylation via asparagine
ENSG00000172339	GO:0043687	TAS	BP	post-translational protein modification
ENSG00000172339	GO:0044267	TAS	BP	cellular protein metabolic process
ENSG00000088543	GO:0016021	IEA	CC	integral component of membrane
ENSG00000154814	GO:0003674	ND	MF	molecular_function
ENSG00000154814	GO:0005575	ND	CC	cellular_component
ENSG00000154814	GO:0005739	IEA	CC	mitochondrion
ENSG00000154814	GO:0008150	ND	BP	biological_process
ENSG00000154814	GO:0016491	IEA	MF	oxidoreductase activity
ENSG00000154814	GO:0055114	IEA	BP	oxidation-reduction process
ENSG00000111249	GO:0000122	IDA	BP	negative regulation of transcription from RNA polymerase II promoter
ENSG00000111249	GO:0000977	ISS	MF	RNA polymerase II regulatory region sequence-specific DNA binding
ENSG00000111249	GO:0005634	IDA	CC	nucleus
ENSG00000111249	GO:0006351	IEA	BP	transcription, DNA-templated
ENSG00000111249	GO:0007614	ISS	BP	short-term memory
ENSG00000111249	GO:0010628	ISS	BP	positive regulation of gene expression
ENSG00000111249	GO:0043565	IDA	MF	sequence-specific DNA binding
ENSG00000111249	GO:0050775	ISS	BP	positive regulation of dendrite morphogenesis
ENSG00000111249	GO:0050890	IMP	BP	cognition
