GENE_ID	counts
ENSG00000234515	0
ENSG00000264113	7623
ENSG00000243514	0
ENSG00000103415	0
ENSG00000163106	1
ENSG00000240541	0
ENSG00000146574	6
ENSG00000200554	46
ENSG00000260107	2
ENSG00000230271	0
ENSG00000230406	0
ENSG00000089177	1671
ENSG00000201393	2
ENSG00000269049	0
ENSG00000237748	30
ENSG00000265085	0
ENSG00000172339	27963
ENSG00000239939	5077
ENSG00000260978	154
ENSG00000257953	0
ENSG00000214922	0
ENSG00000201913	0
ENSG00000200812	0
ENSG00000088543	0
ENSG00000259683	0
ENSG00000235052	0
ENSG00000205885	2
ENSG00000256845	0
ENSG00000154814	0
ENSG00000111249	0
ENSG00000225796	9
ENSG00000228943	0
ENSG00000215131	0
ENSG00000186088	4720
ENSG00000258407	0
ENSG00000225903	0
ENSG00000252247	0
ENSG00000066027	0
ENSG00000086506	0
ENSG00000228413	0
ENSG00000185278	0
ENSG00000250976	3
ENSG00000197851	45
ENSG00000237745	8
ENSG00000113722	0
ENSG00000162624	0
ENSG00000271797	0
ENSG00000109684	2
ENSG00000221204	6299
ENSG00000234253	1
ENSG00000214556	7
ENSG00000244464	223
ENSG00000213757	4
ENSG00000269653	0
ENSG00000254023	0
ENSG00000236108	696
ENSG00000213356	192
ENSG00000151917	0
ENSG00000252759	4987
ENSG00000131408	13
ENSG00000207637	0
ENSG00000050030	0
ENSG00000230757	31
ENSG00000236790	0
ENSG00000234705	11651
ENSG00000250730	608
ENSG00000268164	1
ENSG00000251687	2
ENSG00000256364	0
ENSG00000250754	5335
ENSG00000207036	0
ENSG00000171136	20
ENSG00000258475	0
ENSG00000031823	0
ENSG00000259191	65
ENSG00000260272	39
ENSG00000263796	2
ENSG00000260088	1
ENSG00000253650	0
ENSG00000238769	0
ENSG00000143630	0
ENSG00000238469	7
ENSG00000196420	0
ENSG00000254851	0
ENSG00000235303	7
ENSG00000006210	0
ENSG00000183292	0
ENSG00000202356	126
ENSG00000232453	0
ENSG00000236121	202
ENSG00000142677	1355
ENSG00000250031	56
ENSG00000217801	1
ENSG00000256663	0
ENSG00000203706	0
ENSG00000225842	2498
ENSG00000248152	13
ENSG00000107796	0
ENSG00000269038	333
ENSG00000216114	0
