GENE_ID	counts
ENSG00000234515	4
ENSG00000264113	13
ENSG00000243514	4517
ENSG00000103415	0
ENSG00000163106	0
ENSG00000240541	2472
ENSG00000146574	0
ENSG00000200554	0
ENSG00000260107	0
ENSG00000230271	180
ENSG00000230406	16231
ENSG00000089177	1103
ENSG00000201393	221
ENSG00000269049	0
ENSG00000237748	0
ENSG00000265085	0
ENSG00000172339	0
ENSG00000239939	0
ENSG00000260978	1
ENSG00000257953	0
ENSG00000214922	1
ENSG00000201913	4043
ENSG00000200812	0
ENSG00000088543	9844
ENSG00000259683	0
ENSG00000235052	2
ENSG00000205885	4
ENSG00000256845	0
ENSG00000154814	0
ENSG00000111249	5
ENSG00000225796	1
ENSG00000228943	0
ENSG00000215131	2
ENSG00000186088	0
ENSG00000258407	1875
ENSG00000225903	0
ENSG00000252247	0
ENSG00000066027	3
ENSG00000086506	0
ENSG00000228413	0
ENSG00000185278	521
ENSG00000250976	1
ENSG00000197851	1
ENSG00000237745	397
ENSG00000113722	13
ENSG00000162624	123
ENSG00000271797	0
ENSG00000109684	0
ENSG00000221204	3379
ENSG00000234253	0
ENSG00000214556	25
ENSG00000244464	0
ENSG00000213757	0
ENSG00000269653	0
ENSG00000254023	7931
ENSG00000236108	0
ENSG00000213356	46
ENSG00000151917	8
ENSG00000252759	0
ENSG00000131408	1066
ENSG00000207637	3964
ENSG00000050030	2
ENSG00000230757	0
ENSG00000236790	703
ENSG00000234705	2
ENSG00000250730	0
ENSG00000268164	8
ENSG00000251687	0
ENSG00000256364	0
ENSG00000250754	4537
ENSG00000207036	134
ENSG00000171136	0
ENSG00000258475	1
ENSG00000031823	0
ENSG00000259191	47
ENSG00000260272	6
ENSG00000263796	0
ENSG00000260088	10
ENSG00000253650	0
ENSG00000238769	0
ENSG00000143630	3341
ENSG00000238469	3
ENSG00000196420	87
ENSG00000254851	0
ENSG00000235303	0
ENSG00000006210	0
ENSG00000183292	0
ENSG00000202356	2741
ENSG00000232453	0
ENSG00000236121	0
ENSG00000142677	0
ENSG00000250031	112
ENSG00000217801	8919
ENSG00000256663	0
ENSG00000203706	3286
ENSG00000225842	0
ENSG00000248152	1395
ENSG00000107796	0
ENSG00000269038	0
ENSG00000216114	12165
