GENE_ID	counts
ENSG00000234515	8435
ENSG00000264113	0
ENSG00000243514	0
ENSG00000103415	0
ENSG00000163106	3925
ENSG00000240541	0
ENSG00000146574	2
ENSG00000200554	0
ENSG00000260107	0
ENSG00000230271	14
ENSG00000230406	86
ENSG00000089177	2588
ENSG00000201393	0
ENSG00000269049	98
ENSG00000237748	2
ENSG00000265085	0
ENSG00000172339	0
ENSG00000239939	0
ENSG00000260978	0
ENSG00000257953	11
ENSG00000214922	21
ENSG00000201913	527
ENSG00000200812	0
ENSG00000088543	1355
ENSG00000259683	8
ENSG00000235052	0
ENSG00000205885	6
ENSG00000256845	1996
ENSG00000154814	0
ENSG00000111249	0
ENSG00000225796	3
ENSG00000228943	1
ENSG00000215131	0
ENSG00000186088	441
ENSG00000258407	0
ENSG00000225903	2
ENSG00000252247	1
ENSG00000066027	778
ENSG00000086506	0
ENSG00000228413	0
ENSG00000185278	1
ENSG00000250976	0
ENSG00000197851	30
ENSG00000237745	24
ENSG00000113722	0
ENSG00000162624	0
ENSG00000271797	4280
ENSG00000109684	0
ENSG00000221204	0
ENSG00000234253	0
ENSG00000214556	2
ENSG00000244464	9
ENSG00000213757	0
ENSG00000269653	875
ENSG00000254023	2
ENSG00000236108	0
ENSG00000213356	1675
ENSG00000151917	259
ENSG00000252759	0
ENSG00000131408	19
ENSG00000207637	1
ENSG00000050030	68
ENSG00000230757	0
ENSG00000236790	0
ENSG00000234705	0
ENSG00000250730	775
ENSG00000268164	6
ENSG00000251687	0
ENSG00000256364	62
ENSG00000250754	0
ENSG00000207036	0
ENSG00000171136	0
ENSG00000258475	0
ENSG00000031823	1
ENSG00000259191	0
ENSG00000260272	0
ENSG00000263796	14
ENSG00000260088	0
ENSG00000253650	0
ENSG00000238769	1
ENSG00000143630	0
ENSG00000238469	0
ENSG00000196420	68
ENSG00000254851	0
ENSG00000235303	0
ENSG00000006210	0
ENSG00000183292	0
ENSG00000202356	7535
ENSG00000232453	0
ENSG00000236121	4576
ENSG00000142677	1
ENSG00000250031	85
ENSG00000217801	0
ENSG00000256663	0
ENSG00000203706	0
ENSG00000225842	0
ENSG00000248152	0
ENSG00000107796	1
ENSG00000269038	0
ENSG00000216114	1
